customer_id,segment,city,district
C-10095,Seg A,Nesher,Haifa
C-10096,Seg B,Haifa,Haifa
C-10097,Seg B,Karmiel,North
C-10098,Seg D,Karmiel,North
C-10099,Seg A,Holon,Center
C-10100,Seg B,Netanya,Center
C-10101,Seg A,Herzliya,Center
C-10102,Seg B,Herzliya,Center
C-10103,Seg A,Nesher,Haifa
C-10104,Seg C,Nesher,Haifa
C-10105,Seg A,Tel Aviv,Center
C-10106,Seg B,Beer Sheva,South
C-10107,Seg A,Netanya,Center
C-10108,Seg A,Holon,Center
C-10109,Seg C,Haifa,Haifa
C-10110,Seg B,Nesher,Haifa
C-10111,Seg B,Hadera,Haifa
C-10112,Seg B,Herzliya,Center
C-10113,Seg B,Rishon LeZion,Center
C-10114,Seg C,Rishon LeZion,Center
C-10115,Seg C,Karmiel,North
C-10116,Seg B,Holon,Center
C-10117,Seg B,Netanya,Center
C-10118,Seg B,Netanya,Center
C-10119,Seg D,Mevaseret Zion,Jerusalem
C-10120,Seg D,Tiberias,North
C-10121,Seg A,Netanya,Center
C-10122,Seg B,Tel Aviv,Center
C-10123,Seg B,Afula,North
C-10124,Seg A,Haifa,Haifa
C-10125,Seg A,Haifa,Haifa
C-10126,Seg C,Ramat Gan,Center
C-10127,Seg D,Nazareth,North
C-10128,Seg A,Beit Shemesh,Jerusalem
C-10129,Seg D,Herzliya,Center
C-10130,Seg B,Holon,Center
C-10131,Seg B,Hadera,Haifa
C-10132,Seg C,Karmiel,North
C-10133,Seg A,Holon,Center
C-10134,Seg B,Holon,Center
C-10135,Seg C,Mevaseret Zion,Jerusalem
C-10136,Seg C,Netanya,Center
C-10137,Seg B,Herzliya,Center
C-10138,Seg B,Dimona,South
C-10139,Seg C,Dimona,South
C-10140,Seg B,Jerusalem,Jerusalem
C-10141,Seg D,Jerusalem,Jerusalem
C-10142,Seg C,Petah Tikva,Center
C-10143,Seg A,Tel Aviv,Center
C-10144,Seg A,Beer Sheva,South
C-10145,Seg C,Petah Tikva,Center
C-10146,Seg C,Tel Aviv,Center
C-10147,Seg A,Akko,North
C-10148,Seg A,Hadera,Haifa
C-10149,Seg A,Beer Sheva,South
C-10150,Seg A,Rishon LeZion,Center
C-10151,Seg A,Ashkelon,South
C-10152,Seg C,Netanya,Center
C-10153,Seg A,Netanya,Center
C-10154,Seg B,Jerusalem,Jerusalem
C-10155,Seg D,Karmiel,North
C-10156,Seg B,Holon,Center
C-10157,Seg B,Nesher,Haifa
C-10158,Seg D,Afula,North
C-10159,Seg A,Kiryat Ata,Haifa
C-10160,Seg B,Afula,North
C-10161,Seg A,Nazareth,North
C-10162,Seg D,Ashdod,South
C-10163,Seg B,Petah Tikva,Center
C-10164,Seg D,Nesher,Haifa
C-10165,Seg A,Tel Aviv,Center
C-10166,Seg B,Mevaseret Zion,Jerusalem
C-10167,Seg B,Herzliya,Center
C-10168,Seg B,Eilat,South
C-10169,Seg B,Rishon LeZion,Center
C-10170,Seg D,Ramat Gan,Center
C-10171,Seg D,Karmiel,North
C-10172,Seg B,Haifa,Haifa
C-10173,Seg B,Jerusalem,Jerusalem
C-10174,Seg B,Herzliya,Center
C-10175,Seg C,Tiberias,North
C-10176,Seg B,Mevaseret Zion,Jerusalem
C-10177,Seg C,Beit Shemesh,Jerusalem
C-10178,Seg A,Mevaseret Zion,Jerusalem
C-10179,Seg A,Afula,North
C-10180,Seg B,Kiryat Ata,Haifa
C-10181,Seg A,Jerusalem,Jerusalem
C-10182,Seg B,Beer Sheva,South
C-10183,Seg A,Beit Shemesh,Jerusalem
C-10184,Seg C,Haifa,Haifa
C-10185,Seg B,Holon,Center
C-10186,Seg B,Karmiel,North
C-10187,Seg D,Rishon LeZion,Center
C-10188,Seg A,Afula,North
C-10189,Seg A,Nazareth,North
C-10190,Seg A,Mevaseret Zion,Jerusalem
C-10191,Seg A,Akko,North
C-10192,Seg A,Beit Shemesh,Jerusalem
C-10193,Seg D,Herzliya,Center
C-10194,Seg A,Karmiel,North
C-10195,Seg D,Holon,Center
C-10196,Seg C,Hadera,Haifa
C-10197,Seg B,Netanya,Center
C-10198,Seg C,Petah Tikva,Center
C-10199,Seg A,Beit Shemesh,Jerusalem
C-10200,Seg B,Akko,North
C-10201,Seg B,Tel Aviv,Center
C-10202,Seg C,Nazareth,North
C-10203,Seg C,Ashkelon,South
C-10204,Seg D,Dimona,South
C-10205,Seg C,Nesher,Haifa
C-10206,Seg B,Nesher,Haifa
C-10207,Seg B,Netanya,Center
C-10208,Seg A,Petah Tikva,Center
C-10209,Seg B,Hadera,Haifa
C-10210,Seg C,Tel Aviv,Center
C-10211,Seg C,Ramat Gan,Center
C-10212,Seg C,Netanya,Center
C-10213,Seg A,Herzliya,Center
C-10214,Seg A,Jerusalem,Jerusalem
C-10215,Seg B,Petah Tikva,Center
C-10216,Seg B,Holon,Center
C-10217,Seg A,Eilat,South
C-10218,Seg A,Kiryat Ata,Haifa
C-10219,Seg A,Dimona,South
C-10220,Seg C,Netanya,Center
C-10221,Seg B,Ashdod,South
C-10222,Seg C,Netanya,Center
C-10223,Seg A,Mevaseret Zion,Jerusalem
C-10224,Seg B,Beit Shemesh,Jerusalem
C-10225,Seg C,Hadera,Haifa
C-10226,Seg B,Rishon LeZion,Center
C-10227,Seg B,Nazareth,North
C-10228,Seg A,Tel Aviv,Center
C-10229,Seg B,Afula,North
C-10230,Seg A,Netanya,Center
C-10231,Seg B,Netanya,Center
C-10232,Seg D,Holon,Center
C-10233,Seg B,Nazareth,North
C-10234,Seg A,Eilat,South
C-10235,Seg C,Holon,Center
C-10236,Seg D,Hadera,Haifa
C-10237,Seg C,Jerusalem,Jerusalem
C-10238,Seg C,Beer Sheva,South
C-10239,Seg C,Mevaseret Zion,Jerusalem
C-10240,Seg A,Akko,North
C-10241,Seg A,Akko,North
C-10242,Seg B,Eilat,South
C-10243,Seg A,Akko,North
C-10244,Seg D,Petah Tikva,Center
C-10245,Seg C,Jerusalem,Jerusalem
C-10246,Seg D,Tiberias,North
C-10247,Seg D,Holon,Center
C-10248,Seg A,Ramat Gan,Center
C-10249,Seg C,Petah Tikva,Center
C-10250,Seg D,Ashkelon,South
C-10251,Seg A,Jerusalem,Jerusalem
C-10252,Seg A,Holon,Center
C-10253,Seg A,Rishon LeZion,Center
C-10254,Seg C,Kiryat Ata,Haifa
C-10255,Seg A,Mevaseret Zion,Jerusalem
C-10256,Seg B,Holon,Center
C-10257,Seg C,Haifa,Haifa
C-10258,Seg A,Ashkelon,South
C-10259,Seg C,Akko,North
C-10260,Seg B,Jerusalem,Jerusalem
C-10261,Seg A,Petah Tikva,Center
C-10262,Seg D,Akko,North
C-10263,Seg A,Jerusalem,Jerusalem
C-10264,Seg C,Rishon LeZion,Center
C-10265,Seg B,Beer Sheva,South
C-10266,Seg A,Rishon LeZion,Center
C-10267,Seg A,Beit Shemesh,Jerusalem
C-10268,Seg A,Jerusalem,Jerusalem
C-10269,Seg A,Beer Sheva,South
C-10270,Seg A,Afula,North
C-10271,Seg B,Kiryat Ata,Haifa
C-10272,Seg B,Beer Sheva,South
C-10273,Seg A,Nesher,Haifa
C-10274,Seg B,Afula,North
C-10275,Seg B,Mevaseret Zion,Jerusalem
C-10276,Seg C,Holon,Center
C-10277,Seg B,Kiryat Ata,Haifa
C-10278,Seg C,Mevaseret Zion,Jerusalem
C-10279,Seg C,Netanya,Center
C-10280,Seg A,Akko,North
C-10281,Seg A,Hadera,Haifa
C-10282,Seg A,Jerusalem,Jerusalem
C-10283,Seg B,Afula,North
C-10284,Seg C,Beit Shemesh,Jerusalem
C-10285,Seg A,Holon,Center
C-10286,Seg A,Herzliya,Center
C-10287,Seg B,Akko,North
C-10288,Seg D,Netanya,Center
C-10289,Seg A,Ramat Gan,Center
C-10290,Seg A,Ramat Gan,Center
C-10291,Seg A,Rishon LeZion,Center
C-10292,Seg A,Ramat Gan,Center
C-10293,Seg A,Jerusalem,Jerusalem
C-10294,Seg A,Ashkelon,South
C-10295,Seg B,Beit Shemesh,Jerusalem
C-10296,Seg C,Tiberias,North
C-10297,Seg C,Hadera,Haifa
C-10298,Seg B,Nazareth,North
C-10299,Seg B,Mevaseret Zion,Jerusalem
C-10300,Seg B,Mevaseret Zion,Jerusalem
C-10301,Seg B,Haifa,Haifa
C-10302,Seg A,Tel Aviv,Center
C-10303,Seg A,Ashdod,South
C-10304,Seg B,Nazareth,North
C-10305,Seg D,Herzliya,Center
C-10306,Seg B,Hadera,Haifa
C-10307,Seg B,Petah Tikva,Center
C-10308,Seg B,Beer Sheva,South
C-10309,Seg A,Netanya,Center
C-10310,Seg A,Rishon LeZion,Center
C-10311,Seg B,Hadera,Haifa
C-10312,Seg A,Netanya,Center
C-10313,Seg C,Haifa,Haifa
C-10314,Seg C,Afula,North
C-10315,Seg A,Tel Aviv,Center
C-10316,Seg A,Tel Aviv,Center
C-10317,Seg A,Jerusalem,Jerusalem
C-10318,Seg A,Mevaseret Zion,Jerusalem
C-10319,Seg B,Haifa,Haifa
C-10320,Seg C,Mevaseret Zion,Jerusalem
C-10321,Seg B,Ramat Gan,Center
C-10322,Seg A,Beit Shemesh,Jerusalem
C-10323,Seg B,Tel Aviv,Center
C-10324,Seg A,Akko,North
C-10325,Seg A,Tiberias,North
C-10326,Seg B,Ashkelon,South
C-10327,Seg A,Ashdod,South
C-10328,Seg A,Ramat Gan,Center
C-10329,Seg B,Holon,Center
C-10330,Seg A,Nazareth,North
C-10331,Seg A,Beer Sheva,South
C-10332,Seg D,Tiberias,North
C-10333,Seg B,Tel Aviv,Center
C-10334,Seg B,Nesher,Haifa
C-10335,Seg A,Dimona,South
C-10336,Seg A,Haifa,Haifa
C-10337,Seg A,Haifa,Haifa
C-10338,Seg C,Eilat,South
C-10339,Seg A,Hadera,Haifa
C-10340,Seg B,Petah Tikva,Center
C-10341,Seg B,Beit Shemesh,Jerusalem
C-10342,Seg A,Dimona,South
C-10343,Seg B,Akko,North
C-10344,Seg B,Kiryat Ata,Haifa
C-10345,Seg A,Tiberias,North
C-10346,Seg A,Tel Aviv,Center
C-10347,Seg A,Herzliya,Center
C-10348,Seg A,Nesher,Haifa
C-10349,Seg A,Haifa,Haifa
C-10350,Seg C,Herzliya,Center
C-10351,Seg C,Nesher,Haifa
C-10352,Seg A,Akko,North
C-10353,Seg A,Akko,North
C-10354,Seg A,Mevaseret Zion,Jerusalem
C-10355,Seg A,Tiberias,North
C-10356,Seg B,Eilat,South
C-10357,Seg C,Kiryat Ata,Haifa
C-10358,Seg B,Rishon LeZion,Center
C-10359,Seg A,Jerusalem,Jerusalem
C-10360,Seg C,Beer Sheva,South
C-10361,Seg A,Haifa,Haifa
C-10362,Seg B,Tel Aviv,Center
C-10363,Seg B,Herzliya,Center
C-10364,Seg A,Beer Sheva,South
C-10365,Seg C,Tel Aviv,Center
C-10366,Seg A,Beer Sheva,South
C-10367,Seg C,Jerusalem,Jerusalem
C-10368,Seg B,Holon,Center
C-10369,Seg A,Ashkelon,South
C-10370,Seg C,Mevaseret Zion,Jerusalem
C-10371,Seg A,Ramat Gan,Center
C-10372,Seg B,Tel Aviv,Center
C-10373,Seg A,Tiberias,North
C-10374,Seg B,Eilat,South
C-10375,Seg D,Herzliya,Center
C-10376,Seg C,Herzliya,Center
C-10377,Seg A,Ramat Gan,Center
C-10378,Seg A,Holon,Center
C-10379,Seg D,Akko,North
C-10380,Seg A,Ashdod,South
C-10381,Seg B,Rishon LeZion,Center
C-10382,Seg D,Petah Tikva,Center
C-10383,Seg A,Dimona,South
C-10384,Seg B,Haifa,Haifa
C-10385,Seg A,Dimona,South
C-10386,Seg D,Tel Aviv,Center
C-10387,Seg B,Dimona,South
C-10388,Seg B,Nazareth,North
C-10389,Seg B,Holon,Center
C-10390,Seg A,Mevaseret Zion,Jerusalem
C-10391,Seg C,Herzliya,Center
C-10392,Seg A,Ramat Gan,Center
C-10393,Seg B,Dimona,South
C-10394,Seg B,Eilat,South
C-10395,Seg A,Rishon LeZion,Center
C-10396,Seg A,Haifa,Haifa
C-10397,Seg C,Akko,North
C-10398,Seg B,Ashkelon,South
C-10399,Seg B,Akko,North
C-10400,Seg C,Netanya,Center
C-10401,Seg C,Akko,North
C-10402,Seg D,Haifa,Haifa
C-10403,Seg A,Holon,Center
C-10404,Seg A,Tel Aviv,Center
C-10405,Seg A,Holon,Center
C-10406,Seg B,Petah Tikva,Center
C-10407,Seg A,Ashkelon,South
C-10408,Seg A,Beit Shemesh,Jerusalem
C-10409,Seg B,Dimona,South
C-10410,Seg C,Ashdod,South
C-10411,Seg A,Holon,Center
C-10412,Seg C,Petah Tikva,Center
C-10413,Seg A,Netanya,Center
C-10414,Seg B,Haifa,Haifa
C-10415,Seg D,Afula,North
C-10416,Seg C,Karmiel,North
C-10417,Seg A,Rishon LeZion,Center
C-10418,Seg B,Nesher,Haifa
C-10419,Seg D,Hadera,Haifa
C-10420,Seg A,Ramat Gan,Center
C-10421,Seg A,Petah Tikva,Center
C-10422,Seg B,Haifa,Haifa
C-10423,Seg A,Afula,North
C-10424,Seg C,Mevaseret Zion,Jerusalem
C-10425,Seg A,Holon,Center
C-10426,Seg D,Holon,Center
C-10427,Seg A,Tel Aviv,Center
C-10428,Seg A,Afula,North
C-10429,Seg A,Beit Shemesh,Jerusalem
C-10430,Seg C,Kiryat Ata,Haifa
C-10431,Seg C,Kiryat Ata,Haifa
C-10432,Seg B,Holon,Center
C-10433,Seg C,Ashdod,South
C-10434,Seg D,Haifa,Haifa
C-10435,Seg A,Tel Aviv,Center
C-10436,Seg A,Rishon LeZion,Center
C-10437,Seg B,Beit Shemesh,Jerusalem
C-10438,Seg B,Herzliya,Center
C-10439,Seg B,Afula,North
C-10440,Seg A,Dimona,South
C-10441,Seg A,Nazareth,North
C-10442,Seg D,Haifa,Haifa
C-10443,Seg B,Netanya,Center
C-10444,Seg A,Beit Shemesh,Jerusalem
C-10445,Seg C,Tel Aviv,Center
C-10446,Seg A,Nesher,Haifa
C-10447,Seg A,Kiryat Ata,Haifa
C-10448,Seg B,Jerusalem,Jerusalem
C-10449,Seg A,Jerusalem,Jerusalem
C-10450,Seg A,Herzliya,Center
C-10451,Seg A,Beer Sheva,South
C-10452,Seg A,Beit Shemesh,Jerusalem
C-10453,Seg A,Holon,Center
C-10454,Seg A,Holon,Center
C-10455,Seg B,Jerusalem,Jerusalem
C-10456,Seg C,Tel Aviv,Center
C-10457,Seg A,Holon,Center
C-10458,Seg A,Afula,North
C-10459,Seg A,Ramat Gan,Center
C-10460,Seg A,Jerusalem,Jerusalem
C-10461,Seg B,Ramat Gan,Center
C-10462,Seg B,Petah Tikva,Center
C-10463,Seg D,Petah Tikva,Center
C-10464,Seg B,Tel Aviv,Center
C-10465,Seg C,Petah Tikva,Center
C-10466,Seg B,Kiryat Ata,Haifa
C-10467,Seg A,Haifa,Haifa
C-10468,Seg B,Eilat,South
C-10469,Seg B,Afula,North
C-10470,Seg A,Herzliya,Center
C-10471,Seg D,Haifa,Haifa
C-10472,Seg B,Tel Aviv,Center
C-10473,Seg B,Akko,North
C-10474,Seg C,Mevaseret Zion,Jerusalem
C-10475,Seg C,Mevaseret Zion,Jerusalem
C-10476,Seg A,Holon,Center
C-10477,Seg B,Tel Aviv,Center
C-10478,Seg C,Ashkelon,South
C-10479,Seg A,Tiberias,North
C-10480,Seg B,Beer Sheva,South
C-10481,Seg B,Karmiel,North
C-10482,Seg B,Ashdod,South
C-10483,Seg B,Ramat Gan,Center
C-10484,Seg C,Tel Aviv,Center
C-10485,Seg C,Ashdod,South
C-10486,Seg D,Mevaseret Zion,Jerusalem
C-10487,Seg D,Herzliya,Center
C-10488,Seg B,Ramat Gan,Center
C-10489,Seg A,Karmiel,North
C-10490,Seg B,Ramat Gan,Center
C-10491,Seg B,Hadera,Haifa
C-10492,Seg B,Haifa,Haifa
C-10493,Seg B,Beit Shemesh,Jerusalem
C-10494,Seg C,Ramat Gan,Center
C-10495,Seg A,Nazareth,North
C-10496,Seg A,Haifa,Haifa
C-10497,Seg A,Ramat Gan,Center
C-10498,Seg B,Petah Tikva,Center
C-10499,Seg C,Herzliya,Center
C-10500,Seg D,Ashkelon,South
C-10501,Seg A,Rishon LeZion,Center
C-10502,Seg A,Beer Sheva,South
C-10503,Seg C,Haifa,Haifa
C-10504,Seg A,Ramat Gan,Center
C-10505,Seg A,Beit Shemesh,Jerusalem
C-10506,Seg D,Tel Aviv,Center
C-10507,Seg B,Dimona,South
C-10508,Seg C,Jerusalem,Jerusalem
C-10509,Seg C,Rishon LeZion,Center
C-10510,Seg A,Rishon LeZion,Center
C-10511,Seg B,Ashdod,South
C-10512,Seg C,Beer Sheva,South
C-10513,Seg C,Rishon LeZion,Center
C-10514,Seg A,Kiryat Ata,Haifa
C-10515,Seg B,Mevaseret Zion,Jerusalem
C-10516,Seg B,Ramat Gan,Center
C-10517,Seg A,Beit Shemesh,Jerusalem
C-10518,Seg A,Haifa,Haifa
C-10519,Seg C,Petah Tikva,Center
C-10520,Seg A,Beit Shemesh,Jerusalem
C-10521,Seg B,Dimona,South
C-10522,Seg B,Herzliya,Center
C-10523,Seg A,Petah Tikva,Center
C-10524,Seg C,Nesher,Haifa
C-10525,Seg A,Holon,Center
C-10526,Seg B,Ashdod,South
C-10527,Seg A,Ramat Gan,Center
C-10528,Seg A,Ashdod,South
C-10529,Seg A,Petah Tikva,Center
C-10530,Seg C,Ramat Gan,Center
C-10531,Seg C,Dimona,South
C-10532,Seg A,Ramat Gan,Center
C-10533,Seg A,Beer Sheva,South
C-10534,Seg A,Jerusalem,Jerusalem
C-10535,Seg A,Eilat,South
C-10536,Seg C,Tel Aviv,Center
C-10537,Seg A,Rishon LeZion,Center
C-10538,Seg A,Holon,Center
C-10539,Seg A,Tel Aviv,Center
C-10540,Seg A,Petah Tikva,Center
C-10541,Seg A,Herzliya,Center
C-10542,Seg A,Ramat Gan,Center
C-10543,Seg A,Petah Tikva,Center
C-10544,Seg B,Karmiel,North
C-10545,Seg B,Netanya,Center
C-10546,Seg C,Haifa,Haifa
C-10547,Seg B,Holon,Center
C-10548,Seg A,Eilat,South
C-10549,Seg D,Ashkelon,South
C-10550,Seg B,Haifa,Haifa
C-10551,Seg B,Jerusalem,Jerusalem
C-10552,Seg A,Afula,North
C-10553,Seg A,Tel Aviv,Center
C-10554,Seg B,Ramat Gan,Center
C-10555,Seg A,Netanya,Center
C-10556,Seg B,Nesher,Haifa
C-10557,Seg B,Herzliya,Center
C-10558,Seg B,Tel Aviv,Center
C-10559,Seg A,Rishon LeZion,Center
C-10560,Seg B,Karmiel,North
C-10561,Seg C,Nesher,Haifa
C-10562,Seg A,Afula,North
C-10563,Seg D,Tiberias,North
C-10564,Seg A,Ashdod,South
C-10565,Seg A,Tiberias,North
C-10566,Seg C,Mevaseret Zion,Jerusalem
C-10567,Seg A,Haifa,Haifa
C-10568,Seg D,Petah Tikva,Center
C-10569,Seg A,Ramat Gan,Center
C-10570,Seg B,Kiryat Ata,Haifa
C-10571,Seg C,Haifa,Haifa
C-10572,Seg A,Netanya,Center
C-10573,Seg B,Afula,North
C-10574,Seg B,Nesher,Haifa
C-10575,Seg B,Akko,North
C-10576,Seg B,Eilat,South
C-10577,Seg D,Hadera,Haifa
C-10578,Seg B,Afula,North
C-10579,Seg C,Tel Aviv,Center
C-10580,Seg A,Jerusalem,Jerusalem
C-10581,Seg B,Tel Aviv,Center
C-10582,Seg B,Petah Tikva,Center
C-10583,Seg A,Petah Tikva,Center
C-10584,Seg A,Beer Sheva,South
C-10585,Seg A,Kiryat Ata,Haifa
C-10586,Seg B,Nesher,Haifa
C-10587,Seg A,Akko,North
C-10588,Seg A,Kiryat Ata,Haifa
C-10589,Seg A,Beer Sheva,South
C-10590,Seg C,Petah Tikva,Center
C-10591,Seg D,Nazareth,North
C-10592,Seg A,Tel Aviv,Center
C-10593,Seg C,Nesher,Haifa
C-10594,Seg D,Ashdod,South
C-10595,Seg A,Ashkelon,South
C-10596,Seg A,Herzliya,Center
C-10597,Seg C,Kiryat Ata,Haifa
C-10598,Seg B,Beit Shemesh,Jerusalem
C-10599,Seg C,Ramat Gan,Center
C-10600,Seg B,Herzliya,Center
C-10601,Seg D,Petah Tikva,Center
C-10602,Seg A,Holon,Center
C-10603,Seg B,Tel Aviv,Center
C-10604,Seg B,Haifa,Haifa
C-10605,Seg C,Rishon LeZion,Center
C-10606,Seg B,Afula,North
C-10607,Seg B,Afula,North
C-10608,Seg C,Tel Aviv,Center
C-10609,Seg C,Rishon LeZion,Center
C-10610,Seg A,Beer Sheva,South
C-10611,Seg B,Beit Shemesh,Jerusalem
C-10612,Seg B,Hadera,Haifa
C-10613,Seg B,Afula,North
C-10614,Seg A,Nazareth,North
C-10615,Seg B,Tiberias,North
C-10616,Seg A,Beit Shemesh,Jerusalem
C-10617,Seg C,Tel Aviv,Center
C-10618,Seg B,Tel Aviv,Center
C-10619,Seg A,Ashkelon,South
C-10620,Seg A,Ramat Gan,Center
C-10621,Seg B,Ramat Gan,Center
C-10622,Seg B,Tiberias,North
C-10623,Seg C,Beit Shemesh,Jerusalem
C-10624,Seg A,Eilat,South
C-10625,Seg B,Beit Shemesh,Jerusalem
C-10626,Seg B,Mevaseret Zion,Jerusalem
C-10627,Seg A,Nazareth,North
C-10628,Seg D,Kiryat Ata,Haifa
C-10629,Seg D,Petah Tikva,Center
C-10630,Seg A,Karmiel,North
C-10631,Seg C,Ramat Gan,Center
C-10632,Seg A,Tel Aviv,Center
C-10633,Seg B,Rishon LeZion,Center
C-10634,Seg A,Holon,Center
C-10635,Seg B,Karmiel,North
C-10636,Seg D,Hadera,Haifa
C-10637,Seg B,Akko,North
C-10638,Seg B,Akko,North
C-10639,Seg A,Akko,North
C-10640,Seg C,Beit Shemesh,Jerusalem
C-10641,Seg A,Ashkelon,South
C-10642,Seg A,Ashkelon,South
C-10643,Seg A,Karmiel,North
C-10644,Seg B,Hadera,Haifa
C-10645,Seg A,Mevaseret Zion,Jerusalem
C-10646,Seg C,Afula,North
C-10647,Seg D,Mevaseret Zion,Jerusalem
C-10648,Seg B,Ramat Gan,Center
C-10649,Seg D,Ashkelon,South
C-10650,Seg D,Kiryat Ata,Haifa
C-10651,Seg B,Kiryat Ata,Haifa
C-10652,Seg A,Rishon LeZion,Center
C-10653,Seg B,Nazareth,North
C-10654,Seg A,Mevaseret Zion,Jerusalem
C-10655,Seg A,Nazareth,North
C-10656,Seg A,Ashdod,South
C-10657,Seg B,Karmiel,North
C-10658,Seg B,Jerusalem,Jerusalem
C-10659,Seg A,Netanya,Center
C-10660,Seg A,Beit Shemesh,Jerusalem
C-10661,Seg D,Hadera,Haifa
C-10662,Seg C,Akko,North
C-10663,Seg B,Mevaseret Zion,Jerusalem
C-10664,Seg D,Mevaseret Zion,Jerusalem
C-10665,Seg B,Nesher,Haifa
C-10666,Seg C,Beit Shemesh,Jerusalem
C-10667,Seg B,Mevaseret Zion,Jerusalem
C-10668,Seg D,Ramat Gan,Center
C-10669,Seg A,Nesher,Haifa
C-10670,Seg B,Ramat Gan,Center
C-10671,Seg B,Hadera,Haifa
C-10672,Seg A,Tiberias,North
C-10673,Seg B,Nesher,Haifa
C-10674,Seg A,Jerusalem,Jerusalem
C-10675,Seg B,Ramat Gan,Center
C-10676,Seg D,Nesher,Haifa
C-10677,Seg B,Ramat Gan,Center
C-10678,Seg C,Jerusalem,Jerusalem
C-10679,Seg B,Ashkelon,South
C-10680,Seg A,Haifa,Haifa
C-10681,Seg B,Karmiel,North
C-10682,Seg A,Netanya,Center
C-10683,Seg A,Beit Shemesh,Jerusalem
C-10684,Seg A,Ramat Gan,Center
C-10685,Seg C,Holon,Center
C-10686,Seg B,Beit Shemesh,Jerusalem
C-10687,Seg C,Haifa,Haifa
C-10688,Seg D,Herzliya,Center
