subscriber_id,billing_month,billed_amount
S-51102,2023-07,42.0
S-51104,2023-07,34.0
S-51106,2023-07,87.0
S-51107,2023-07,69.07
S-51110,2023-07,66.0
S-51113,2023-07,89.0
S-51114,2023-07,69.0
S-51115,2023-07,69.0
S-51121,2023-07,55.0
S-51124,2023-07,55.0
S-51125,2023-07,35.0
S-51129,2023-07,55.0
S-51130,2023-07,69.0
S-51131,2023-07,30.8
S-51142,2023-07,49.0
S-51159,2023-07,79.0
S-51163,2023-07,60.48
S-51165,2023-07,56.34
S-51171,2023-07,39.0
S-51176,2023-07,34.45
S-51184,2023-07,109.0
S-51188,2023-07,32.0
S-51191,2023-07,30.97
S-51192,2023-07,49.0
S-51194,2023-07,53.0
S-51205,2023-07,44.0
S-51206,2023-07,37.0
S-51208,2023-07,69.0
S-51209,2023-07,87.0
S-51210,2023-07,79.0
S-51216,2023-07,68.34
S-51217,2023-07,48.0
S-51218,2023-07,83.95
S-51219,2023-07,55.0
S-51220,2023-07,44.0
S-51221,2023-07,59.43
S-51222,2023-07,88.49
S-51225,2023-07,53.96
S-51226,2023-07,49.0
S-51231,2023-07,39.0
S-51239,2023-07,32.0
S-51240,2023-07,69.0
S-51241,2023-07,39.0
S-51242,2023-07,68.41
S-51244,2023-07,55.0
S-51245,2023-07,83.0
S-51246,2023-07,42.0
S-51247,2023-07,55.0
S-51249,2023-07,55.0
S-51250,2023-07,49.0
S-51260,2023-07,69.0
S-51261,2023-07,42.0
S-51262,2023-07,44.73
S-51263,2023-07,73.61
S-51267,2023-07,89.0
S-51279,2023-07,55.0
S-51280,2023-07,69.0
S-51286,2023-07,129.0
S-51301,2023-07,37.99
S-51303,2023-07,48.61
S-51313,2023-07,92.13
S-51314,2023-07,56.68
S-51315,2023-07,92.31
S-51321,2023-07,34.0
S-51334,2023-07,73.26
S-51336,2023-07,39.12
S-51337,2023-07,50.85
S-51338,2023-07,24.7
S-51339,2023-07,49.0
S-51340,2023-07,41.04
S-51352,2023-07,89.0
S-51353,2023-07,69.0
S-51355,2023-07,89.0
S-51356,2023-07,89.0
S-51357,2023-07,55.0
S-51366,2023-07,69.0
S-51367,2023-07,55.0
S-51370,2023-07,63.0
S-51372,2023-07,41.47
S-51377,2023-07,39.0
S-51382,2023-07,41.0
S-51384,2023-07,45.4
S-51385,2023-07,79.0
S-51388,2023-07,63.83
S-51391,2023-07,69.0
S-51393,2023-07,35.0
S-51394,2023-07,89.0
S-51397,2023-07,109.98
S-51399,2023-07,55.0
S-51401,2023-07,57.24
S-51409,2023-07,69.0
S-51411,2023-07,39.0
S-51425,2023-07,91.79
S-51426,2023-07,49.0
S-51427,2023-07,42.0
S-51428,2023-07,46.0
S-51429,2023-07,41.5
S-51432,2023-07,45.0
S-51435,2023-07,52.78
S-51436,2023-07,91.18
S-51441,2023-07,55.0
S-51449,2023-07,96.17
S-51450,2023-07,52.77
S-51451,2023-07,69.0
S-51452,2023-07,41.0
S-51459,2023-07,55.21
S-51460,2023-07,95.97
S-51461,2023-07,51.0
S-51462,2023-07,22.97
S-51463,2023-07,89.0
S-51464,2023-07,33.0
S-51465,2023-07,39.03
S-51466,2023-07,55.75
S-51468,2023-07,109.0
S-51476,2023-07,46.0
S-51482,2023-07,42.0
S-51483,2023-07,34.0
S-51486,2023-07,35.0
S-51489,2023-07,44.54
S-51494,2023-07,56.97
S-51496,2023-07,89.0
S-51497,2023-07,90.57
S-51498,2023-07,59.65
S-51499,2023-07,44.8
S-51507,2023-07,89.0
S-51520,2023-07,34.37
S-51521,2023-07,43.87
S-51528,2023-07,69.0
S-51529,2023-07,69.0
S-51531,2023-07,28.23
S-51536,2023-07,39.0
S-51545,2023-07,42.0
S-51547,2023-07,39.0
S-51548,2023-07,49.0
S-51549,2023-07,41.0
S-51553,2023-07,89.26
S-51554,2023-07,52.92
S-51564,2023-07,69.0
S-51570,2023-07,36.3
S-51575,2023-07,61.33
S-51576,2023-07,69.0
S-51577,2023-07,49.0
S-51582,2023-07,53.78
S-51583,2023-07,41.73
S-51585,2023-07,35.0
S-51587,2023-07,42.0
S-51592,2023-07,73.17
S-51596,2023-07,69.0
S-51602,2023-07,42.0
S-51609,2023-07,73.69
S-51612,2023-07,42.0
S-51620,2023-07,35.0
S-51623,2023-07,35.32
S-51631,2023-07,55.0
S-51638,2023-07,8.87
S-51640,2023-07,45.0
S-51643,2023-07,2.71
S-51647,2023-07,69.0
S-51648,2023-07,55.0
S-51651,2023-07,55.0
S-51652,2023-07,89.0
S-51654,2023-07,20.1
S-51655,2023-07,79.0
S-51669,2023-07,55.0
S-51673,2023-07,34.66
S-51674,2023-07,30.0
S-51675,2023-07,49.0
S-51700,2023-07,37.93
S-51701,2023-07,45.37
S-51702,2023-07,69.0
S-51703,2023-07,35.0
S-51704,2023-07,69.0
S-51705,2023-07,30.0
S-51709,2023-07,28.23
S-51710,2023-07,7.45
S-51719,2023-07,79.0
S-51723,2023-07,55.0
S-51725,2023-07,55.0
S-51731,2023-07,69.0
S-51734,2023-07,71.01
S-51735,2023-07,33.0
S-51748,2023-07,42.0
S-51749,2023-07,42.0
S-51751,2023-07,35.0
S-51752,2023-07,31.0
S-51761,2023-07,69.0
S-51767,2023-07,55.0
S-51770,2023-07,55.0
S-51772,2023-07,65.55
S-51773,2023-07,45.0
S-51776,2023-07,69.0
S-51778,2023-07,35.0
S-51782,2023-07,44.49
S-51786,2023-07,55.0
S-51787,2023-07,27.95
S-51788,2023-07,39.0
S-51789,2023-07,22.94
S-51790,2023-07,55.0
S-51792,2023-07,51.0
S-51793,2023-07,57.0
S-51797,2023-07,35.0
S-51798,2023-07,69.0
S-51801,2023-07,89.0
S-51802,2023-07,89.0
S-51803,2023-07,55.0
S-51804,2023-07,43.32
S-51805,2023-07,48.01
S-51806,2023-07,92.91
S-51812,2023-07,39.67
S-51819,2023-07,59.19
S-51820,2023-07,61.4
S-51831,2023-07,37.91
S-51832,2023-07,49.0
S-51834,2023-07,42.0
S-51846,2023-07,73.51
S-51848,2023-07,63.0
S-51849,2023-07,36.61
S-51854,2023-07,79.0
S-51862,2023-07,35.0
S-51866,2023-07,87.0
S-51877,2023-07,69.0
S-51881,2023-07,89.0
S-51890,2023-07,39.0
S-51892,2023-07,34.94
S-51894,2023-07,69.0
S-51898,2023-07,89.0
S-51899,2023-07,69.0
S-51900,2023-07,55.0
S-51901,2023-07,69.0
S-51904,2023-07,39.0
S-51905,2023-07,55.0
S-51906,2023-07,39.0
S-51907,2023-07,32.0
S-51908,2023-07,92.65
S-51915,2023-07,33.0
S-51922,2023-07,49.0
S-51926,2023-07,49.0
S-51928,2023-07,92.44
S-51929,2023-07,69.0
S-51930,2023-07,42.0
S-51933,2023-07,86.13
S-51937,2023-07,73.23
S-51938,2023-07,109.0
S-51939,2023-07,79.9
S-51941,2023-07,33.15
S-51942,2023-07,25.5
S-51945,2023-07,69.0
S-51946,2023-07,30.0
S-51947,2023-07,66.0
S-51948,2023-07,42.27
S-51954,2023-07,34.45
S-51960,2023-07,46.11
S-51961,2023-07,39.0
S-51962,2023-07,65.36
S-51963,2023-07,31.0
S-51971,2023-07,35.0
S-51972,2023-07,30.0
S-51974,2023-07,53.32
S-51977,2023-07,77.02
S-51980,2023-07,35.0
S-51981,2023-07,56.02
S-51982,2023-07,42.0
S-51985,2023-07,51.4
S-51987,2023-07,58.82
S-51993,2023-07,34.0
S-51996,2023-07,53.01
S-51997,2023-07,55.0
S-52001,2023-07,49.68
S-52003,2023-07,37.62
S-52005,2023-07,44.0
S-52006,2023-07,55.0
S-52008,2023-07,24.7
S-52009,2023-07,69.0
S-52016,2023-07,90.26
S-52018,2023-07,32.43
S-52019,2023-07,32.48
S-52020,2023-07,39.0
S-52023,2023-07,35.91
S-52026,2023-07,35.0
S-52027,2023-07,89.0
S-52033,2023-07,69.0
S-52034,2023-07,58.0
S-52037,2023-07,75.64
S-52041,2023-07,19.19
S-52055,2023-07,42.0
S-52056,2023-07,129.0
S-52062,2023-07,65.76
S-52066,2023-07,89.0
S-52067,2023-07,90.33
S-52068,2023-07,42.0
S-52069,2023-07,55.0
S-52070,2023-07,55.0
S-52071,2023-07,61.08
S-52072,2023-07,93.88
S-52074,2023-07,88.24
S-52075,2023-07,69.0
S-52077,2023-07,35.0
S-52078,2023-07,51.0
S-52081,2023-07,33.88
S-52082,2023-07,89.0
S-52083,2023-07,37.05
S-52092,2023-07,42.96
S-52100,2023-07,35.0
S-52101,2023-07,60.64
S-52102,2023-07,55.0
S-52103,2023-07,55.0
S-52104,2023-07,49.99
S-52106,2023-07,55.0
S-52108,2023-07,36.25
S-52109,2023-07,90.84
S-52111,2023-07,55.0
S-52113,2023-07,89.0
S-52114,2023-07,39.0
S-52116,2023-07,55.0
S-52121,2023-07,53.0
S-52123,2023-07,46.43
S-52126,2023-07,53.04
S-52127,2023-07,69.0
S-52128,2023-07,69.0
S-52136,2023-07,33.35
S-52138,2023-07,57.0
S-52139,2023-07,51.0
S-52140,2023-07,35.0
S-52144,2023-07,89.0
S-52145,2023-07,61.61
S-52148,2023-07,89.0
S-52151,2023-07,69.0
S-52152,2023-07,55.0
S-52162,2023-07,55.0
S-52169,2023-07,27.73
S-52190,2023-07,43.33
S-52192,2023-07,69.0
S-52193,2023-07,33.49
S-52200,2023-07,5.86
S-52210,2023-07,79.0
S-52215,2023-07,53.0
S-52218,2023-07,45.35
S-52220,2023-07,49.0
S-52230,2023-07,89.0
S-52234,2023-07,69.0
S-52237,2023-07,43.91
S-52240,2023-07,69.0
S-52257,2023-07,42.0
S-52259,2023-07,79.0
S-52266,2023-07,42.0
S-52274,2023-07,69.0
S-52284,2023-07,38.24
S-52285,2023-07,65.26
S-52286,2023-07,68.15
S-52290,2023-07,69.0
S-52292,2023-07,52.0
S-52293,2023-07,53.32
S-52294,2023-07,43.15
S-52298,2023-07,42.0
S-52304,2023-07,48.0
S-52306,2023-07,69.0
S-52309,2023-07,15.78
S-52312,2023-07,69.0
S-52316,2023-07,69.0
S-52321,2023-07,39.0
S-52322,2023-07,37.0
S-52324,2023-07,69.0
S-52329,2023-07,34.0
S-52331,2023-07,89.0
S-52337,2023-07,69.0
S-52341,2023-07,83.0
S-52343,2023-07,70.16
S-52344,2023-07,51.63
S-52347,2023-07,69.0
S-52348,2023-07,57.0
S-52352,2023-07,69.0
S-52354,2023-07,42.0
S-52358,2023-07,63.0
S-52361,2023-07,45.0
S-52362,2023-07,55.0
S-52363,2023-07,35.12
S-52364,2023-07,55.0
S-52366,2023-07,49.0
S-52367,2023-07,55.0
S-52368,2023-07,33.15
S-52378,2023-07,45.0
S-52380,2023-07,35.0
S-52390,2023-07,42.0
S-52399,2023-07,74.61
S-52403,2023-07,37.32
S-52406,2023-07,69.0
S-52407,2023-07,83.0
S-52408,2023-07,40.42
S-52410,2023-07,35.37
S-52413,2023-07,34.18
S-52415,2023-07,39.0
S-52424,2023-07,49.0
S-52434,2023-07,69.0
S-52438,2023-07,89.0
S-52440,2023-07,55.0
S-52442,2023-07,50.03
S-52444,2023-07,69.0
S-52450,2023-07,66.0
S-52452,2023-07,28.94
S-52455,2023-07,44.55
S-52461,2023-07,59.52
S-52471,2023-07,15.81
S-52479,2023-07,65.97
S-52480,2023-07,42.0
S-52481,2023-07,69.0
S-52484,2023-07,69.0
S-52485,2023-07,33.19
S-52487,2023-07,17.39
S-52491,2023-07,69.0
S-52492,2023-07,39.0
S-52497,2023-07,49.0
S-52499,2023-07,90.58
S-52508,2023-07,43.55
S-52511,2023-07,69.0
S-52521,2023-07,55.0
S-52523,2023-07,42.31
S-52525,2023-07,69.0
S-52531,2023-07,49.0
S-52532,2023-07,35.0
S-52533,2023-07,72.4
S-52534,2023-07,69.0
S-52538,2023-07,6.68
S-52547,2023-07,79.0
S-52548,2023-07,49.0
S-52549,2023-07,57.42
S-52551,2023-07,55.0
S-52552,2023-07,89.0
S-52553,2023-07,52.0
S-52554,2023-07,42.0
S-52555,2023-07,35.0
S-52557,2023-07,52.0
S-52560,2023-07,83.0
S-52561,2023-07,42.0
S-52567,2023-07,69.0
S-52570,2023-07,31.0
S-52575,2023-07,31.0
S-52576,2023-07,35.0
S-52577,2023-07,89.0
S-52579,2023-07,45.0
S-52580,2023-07,74.84
S-52583,2023-07,54.64
S-52588,2023-07,66.72
S-52590,2023-07,43.02
S-52594,2023-07,69.0
S-52595,2023-07,69.0
S-52596,2023-07,49.0
S-52597,2023-07,89.0
S-52599,2023-07,69.0
S-52600,2023-07,68.22
S-52608,2023-07,73.5
S-52610,2023-07,23.06
S-52612,2023-07,72.64
S-52617,2023-07,67.82
S-52623,2023-07,73.69
S-52624,2023-07,12.56
S-52625,2023-07,49.0
S-52635,2023-07,49.0
S-52639,2023-07,81.69
S-52640,2023-07,63.0
S-52658,2023-07,42.0
S-52664,2023-07,69.0
S-52667,2023-07,49.0
S-52672,2023-07,38.48
S-52673,2023-07,84.65
S-52674,2023-07,42.0
S-52675,2023-07,89.0
S-52676,2023-07,69.0
S-52679,2023-07,69.0
S-52682,2023-07,55.0
S-52684,2023-07,49.0
S-52685,2023-07,69.0
S-52688,2023-07,70.84
S-52689,2023-07,55.0
S-52693,2023-07,69.0
S-52694,2023-07,69.0
S-52695,2023-07,39.0
S-52696,2023-07,42.0
S-52697,2023-07,69.0
S-52700,2023-07,55.0
S-52703,2023-07,54.62
S-52705,2023-07,53.1
S-52706,2023-07,32.0
S-52707,2023-07,55.0
S-52718,2023-07,74.53
S-52720,2023-07,69.0
S-52721,2023-07,26.0
S-52732,2023-07,49.0
S-52735,2023-07,85.6
S-52738,2023-07,31.45
S-52742,2023-07,35.0
S-52744,2023-07,69.0
S-52746,2023-07,31.0
S-52749,2023-07,89.0
S-52750,2023-07,55.0
S-52751,2023-07,101.32
S-52752,2023-07,55.0
S-52753,2023-07,48.0
S-52764,2023-07,69.0
S-52765,2023-07,144.53
S-52768,2023-07,26.0
S-52770,2023-07,55.0
S-52771,2023-07,69.0
S-52772,2023-07,32.53
S-52774,2023-07,69.0
S-52777,2023-07,89.0
S-52781,2023-07,35.0
S-52784,2023-07,55.0
S-52785,2023-07,42.0
S-52791,2023-07,41.5
S-52792,2023-07,69.0
S-52795,2023-07,69.0
S-52799,2023-07,34.04
S-52806,2023-07,69.0
S-52807,2023-07,69.0
S-52811,2023-07,49.0
S-52820,2023-07,55.0
S-52821,2023-07,35.0
S-52822,2023-07,69.0
S-52824,2023-07,6.29
S-52829,2023-07,31.0
S-52831,2023-07,72.93
S-52835,2023-07,72.91
S-52836,2023-07,45.0
S-52841,2023-07,87.0
S-52842,2023-07,49.0
S-52843,2023-07,57.39
S-52848,2023-07,41.07
S-52850,2023-07,59.25
S-52855,2023-07,42.0
S-52857,2023-07,79.0
S-52863,2023-07,89.67
S-52866,2023-07,35.0
S-52867,2023-07,18.05
S-52871,2023-07,69.0
S-52872,2023-07,42.04
S-52873,2023-07,42.0
S-52874,2023-07,38.91
S-52881,2023-07,118.9
S-52887,2023-07,69.0
S-52894,2023-07,39.0
S-52903,2023-07,23.71
S-52904,2023-07,57.0
S-52906,2023-07,55.0
S-52909,2023-07,34.67
S-52910,2023-07,55.0
S-52923,2023-07,53.0
S-52924,2023-07,44.52
S-52930,2023-07,55.0
S-52931,2023-07,89.0
S-52934,2023-07,89.0
S-52939,2023-07,48.0
S-52942,2023-07,47.09
S-52946,2023-07,34.54
S-52948,2023-07,69.0
S-52950,2023-07,69.0
S-52969,2023-07,15.29
S-52972,2023-07,69.0
S-52973,2023-07,89.0
S-52976,2023-07,55.0
S-52987,2023-07,79.0
S-52988,2023-07,55.0
S-52993,2023-07,52.59
S-52997,2023-07,33.0
S-53014,2023-07,55.0
S-53016,2023-07,26.2
S-53023,2023-07,55.0
S-53026,2023-07,33.0
S-53032,2023-07,58.42
S-53040,2023-07,34.0
S-53041,2023-07,30.0
S-53043,2023-07,32.0
S-53050,2023-07,49.0
S-53054,2023-07,19.1
S-53057,2023-07,39.0
S-53058,2023-07,55.0
S-53067,2023-07,35.84
S-53071,2023-07,8.48
S-53081,2023-07,45.0
S-53082,2023-07,89.0
S-53083,2023-07,51.52
S-53084,2023-07,89.0
S-53090,2023-07,35.0
S-53093,2023-07,42.0
S-53095,2023-07,89.0
S-53097,2023-07,34.37
S-53098,2023-07,42.0
S-53099,2023-07,39.0
S-53105,2023-07,69.0
S-53114,2023-07,106.29
S-53118,2023-07,55.0
S-53120,2023-07,35.0
S-53121,2023-07,69.0
S-53125,2023-07,37.03
S-53127,2023-07,69.0
S-53128,2023-07,55.0
S-53134,2023-07,35.0
S-53139,2023-07,69.0
S-53140,2023-07,53.92
S-53141,2023-07,55.0
S-53142,2023-07,27.1
S-53143,2023-07,45.87
S-53146,2023-07,48.0
S-53153,2023-07,69.43
S-53154,2023-07,80.71
S-53156,2023-07,76.09
S-53159,2023-07,58.65
S-53170,2023-07,104.03
S-53173,2023-07,73.9
S-53176,2023-07,89.0
S-53178,2023-07,89.0
S-53188,2023-07,35.0
S-53189,2023-07,55.0
S-53191,2023-07,56.23
S-53192,2023-07,35.0
S-53194,2023-07,79.0
S-53204,2023-07,89.0
S-53213,2023-07,89.0
S-53214,2023-07,83.0
S-53225,2023-07,18.02
S-53229,2023-07,69.0
S-53230,2023-07,35.0
S-53231,2023-07,134.85
S-53235,2023-07,89.0
S-53237,2023-07,40.65
S-53240,2023-07,57.62
S-53245,2023-07,41.0
S-53246,2023-07,69.0
S-53247,2023-07,11.55
S-53253,2023-07,79.0
S-53254,2023-07,44.0
S-53261,2023-07,67.85
S-53262,2023-07,45.0
S-53264,2023-07,45.0
S-53266,2023-07,69.14
S-53267,2023-07,111.28
S-53271,2023-07,55.0
S-53276,2023-07,65.14
S-53286,2023-07,79.0
S-53288,2023-07,39.0
S-53289,2023-07,53.0
S-53290,2023-07,49.0
S-53291,2023-07,52.0
S-53292,2023-07,38.29
S-53293,2023-07,35.0
S-53301,2023-07,69.0
S-53302,2023-07,51.0
S-53304,2023-07,89.0
S-53306,2023-07,129.0
S-53308,2023-07,84.55
S-53311,2023-07,42.0
S-53314,2023-07,40.92
S-53315,2023-07,42.0
S-53316,2023-07,34.0
S-53329,2023-07,42.0
S-53330,2023-07,79.0
S-53333,2023-07,69.0
S-53338,2023-07,42.0
S-53339,2023-07,76.09
S-53341,2023-07,52.84
S-53342,2023-07,89.0
S-53343,2023-07,89.0
S-53346,2023-07,57.47
S-53348,2023-07,32.0
S-53354,2023-07,50.19
S-53372,2023-07,89.0
S-53373,2023-07,42.9
S-53375,2023-07,55.0
S-53382,2023-07,89.0
S-53383,2023-07,69.0
S-53385,2023-07,36.29
S-53387,2023-07,42.0
S-53389,2023-07,76.0
S-53399,2023-07,74.85
