subscriber_id,customer_id,dealer_code,plan_code,join_date,churn_date
S-50062,C-10042,DLR-01,PLN-UMAX,04/08/2022,
S-50063,C-10043,dlr-07,PLN-YTH,08/01/2021,09/09/2025
S-50064,C-10044,DLR-03,PLN-T05,06/07/2021,07/20/2023
S-50065,C-10045,DLR-06,PLN-S100,07/06/2021,03/11/2022
S-50066,C-10046,DLR-04,PLN-YTH,02/14/2025,
S-50067,C-10046,DLR-03,PLN-S100,11/21/2025,
S-50068,C-10047,DLR-05,PLN-S100,06/04/2021,07/06/2023
S-50069,C-10048,DLR-03,PLN-YTH,10/28/2022,
S-50070,C-10049,DLR-10,PLN-B60,05/15/2024,10/17/2025
S-50071,C-10050,DLR-09,PLN-T20,01/25/2022,
S-50072,C-10050,DLR-06,PLN-T06,08/25/2022,10/12/2022
S-50073,C-10050,DLR-09,PLN-U69,04/10/2022,
S-50074,C-10051,DLR-03,PLN-T05,10/17/2023,
S-50075,C-10051,DLR-07 ,PLN-YTH,03/28/2025,
S-50076,C-10051,dlr-10,PLN-S300,10/19/2024,
S-50077,C-10051,DLR-02,PLN-YTH,09/21/2024,
S-50078,C-10052,dlr-04,PLN-U69,04/03/2022,05/24/2025
S-50079,C-10053,dlr-10,PLN-SNR,04/21/2023,
S-50080,C-10054,DLR-9,PLN-T09,10/14/2023,
S-50081,C-10055,dlr-10,PLN-T14,02/28/2025,
S-50082,C-10056,DLR-09,PLN-T24,04/13/2025,
S-50083,C-10056,DLR-03,PLN-S200,10/23/2025,
S-50084,C-10057,DLR-01,PLN-S200,12/14/2024,
S-50085,C-10058,DLR-07,PLN-YTH,06/24/2025,
S-50086,C-10059,DLR-10 ,PLN-S100,07/27/2023,
S-50087,C-10060,DLR-03,PLN-S200,05/22/2025,
S-50088,C-10061,DLR-05,PLN-UMAX,12/05/2025,
S-50089,C-10062,DLR-06,PLN-S100,07/12/2022,01/27/2025
S-50090,C-10063,DLR-01,PLN-B60,04/26/2021,11/27/2023
S-50091,C-10064,DLR-09,PLN-YTH,01/31/2024,04/10/2025
S-50092,C-10065,DLR-01,PLN-S200,07/05/2021,07/26/2022
S-50093,C-10066,DLR-03,PLN-S100,07/10/2025,
S-50094,C-10067,DLR-08,PLN-T15,09/24/2024,
S-50095,C-10067,DLR-07,PLN-S100,07/20/2025,09/13/2025
S-50096,C-10068,DLR-01,PLN-T21,12/19/2024,10/26/2025
S-50097,C-10069,DLR-09,PLN-S100,05/29/2025,
S-50098,C-10070,DLR-02,PLN-T17,02/06/2023,10/31/2023
S-50099,C-10071,DLR-09,PLN-B40,04/01/2021,10/12/2021
S-50100,C-10072,DLR-03,PLN-B60,01/25/2025,
S-50101,C-10073,DLR-10,PLN-UMAX,03/07/2025,04/30/2025
S-50102,C-10074,DLR-03,PLN-T04,07/24/2023,
S-50103,C-10075,dlr-10,PLN-FAM,01/14/2021,04/14/2025
S-50104,C-10075,DLR-09,PLN-S100,09/19/2021,
S-50105,C-10076,DLR-07,PLN-T18,12/02/2022,04/18/2025
S-50106,C-10077,DLR-01 ,PLN-UMAX,08/02/2024,
S-50107,C-10077,DLR-01,PLN-S100,09/03/2024,
S-50108,C-10078,DLR-04,PLN-S100,06/18/2024,04/05/2025
S-50109,C-10079,DLR-05,PLN-T12,11/25/2022,
S-50110,C-10080,DLR-03,PLN-YTH,05/27/2025,
S-50111,C-10081,DLR-07,PLN-T03,01/23/2024,
S-50112,C-10081,dlr-03,PLN-T03,05/03/2024,
S-50113,C-10081,DLR-01,PLN-SNR,10/01/2024,
S-50114,C-10082,dlr-10,PLN-SNR,06/28/2022,
S-50115,C-10082,DLR-01,PLN-B60,09/27/2022,04/01/2023
S-50116,C-10082,DLR-07,PLN-S300,12/23/2023,
S-50117,C-10083,DLR-01,PLN-T23,05/20/2022,09/25/2022
S-50118,C-10084,DLR-02,PLN-FAM,10/25/2022,08/16/2024
S-50119,C-10085,DLR-01,PLN-UMAX,08/18/2022,
S-50120,C-10086,dlr-01,PLN-S100,02/09/2023,06/26/2024
S-50121,C-10087,DLR-06,PLN-T10,11/03/2023,03/26/2024
S-50122,C-10088,DLR-10,PLN-T17,07/10/2022,05/27/2023
S-50123,C-10089,DLR-01,PLN-U69,09/02/2021,
S-50124,C-10089,DLR-02,PLN-B60,03/09/2022,01/09/2024
S-50125,C-10090,DLR-05,PLN-U69,12/25/2025,
S-50126,C-10091,DLR-09,PLN-YTH,05/12/2023,07/15/2025
S-50127,C-10092,DLR-02 ,PLN-FAM,09/16/2022,09/15/2023
S-50128,C-10092,DLR-02,PLN-FAM,01/03/2023,06/14/2024
S-50129,C-10093,dlr-09,PLN-UMAX,11/09/2024,
S-50130,C-10094,DLR-03,PLN-SNR,09/10/2024,10/29/2025
S-50131,C-10095,DLR-09,PLN-T23,02/26/2025,
S-50132,C-10095,DLR-05,PLN-B60,06/01/2025,
S-50133,C-10096,DLR-06,PLN-S100,08/07/2022,
S-50134,C-10097,DLR-02,PLN-S100,08/06/2022,01/26/2023
S-50135,C-10097,DLR-05,PLN-S200,12/22/2022,
S-50136,C-10098,DLR-6,PLN-SNR,10/23/2025,
S-50137,C-10099,DLR-01,PLN-S100,08/29/2025,
S-50138,C-10100,DLR-03,PLN-S100,10/28/2024,07/04/2025
S-50139,C-10101,DLR-07,PLN-S100,06/15/2022,12/04/2025
S-50140,C-10102,DLR-10,PLN-T13,02/25/2023,04/01/2025
S-50141,C-10103,DLR-03,PLN-T04,07/04/2024,
S-50142,C-10104,DLR-01,PLN-YTH,10/02/2021,
S-50143,C-10105,DLR-09,PLN-S100,10/23/2025,
S-50144,C-10106,DLR-05,PLN-S200,04/05/2024,
S-50145,C-10106,DLR-03,PLN-YTH,05/07/2025,10/17/2025
S-50146,C-10107,DLR-10,PLN-UMAX,05/13/2025,
S-50147,C-10108,DLR-09 ,PLN-U69,09/14/2024,
S-50148,C-10109,DLR-03,PLN-YTH,03/16/2024,03/16/2025
S-50149,C-10110,DLR-04,PLN-FAM,01/27/2025,
S-50150,C-10111,DLR-09,PLN-S100,02/19/2024,10/28/2024
S-50151,C-10112,DLR-01,PLN-S200,09/22/2025,
S-50152,C-10113,DLR-03,PLN-S100,10/22/2021,
S-50153,C-10113,DLR-09,PLN-S200,12/24/2021,03/20/2023
S-50154,C-10113,DLR-7,PLN-S200,10/16/2022,09/07/2025
S-50155,C-10114,DLR-08,PLN-S100,10/10/2022,
S-50156,C-10115,DLR-09,PLN-UMAX,02/16/2023,
S-50157,C-10116,DLR-10,PLN-S300,08/03/2023,
S-50158,C-10116,DLR-02,PLN-SNR,03/08/2024,
S-50159,C-10117,DLR-09,PLN-T20,04/16/2025,
S-50160,C-10118,DLR-01,PLN-S100,04/06/2023,
S-50161,C-10118,DLR-10,PLN-S200,07/21/2023,
S-50162,C-10118,DLR-09,PLN-FAM,01/14/2024,
S-50163,C-10118,dlr-05,PLN-UMAX,09/15/2024,
S-50164,C-10119,DLR-09,PLN-S100,01/30/2023,01/16/2024
S-50165,C-10120,DLR-10,PLN-SNR,12/25/2022,02/21/2025
S-50166,C-10121,DLR-01,PLN-B60,01/09/2024,
S-50167,C-10121,DLR-09,PLN-U69,04/19/2024,
S-50168,C-10122,DLR-06,PLN-S300,10/07/2023,
S-50169,C-10122,DLR-09,PLN-T02,11/11/2023,04/28/2024
S-50170,C-10123,DLR-05,PLN-S200,01/17/2021,05/20/2021
S-50171,C-10123,dlr-10,PLN-B60,06/17/2021,
S-50172,C-10124,DLR-02 ,PLN-B60,05/17/2025,
S-50173,C-10125,DLR-10,PLN-S100,05/31/2024,
S-50174,C-10126,DLR-01,PLN-T22,02/06/2025,11/07/2025
S-50175,C-10127,DLR-01,PLN-YTH,05/28/2022,
S-50176,C-10127,DLR-04 ,PLN-U69,08/02/2023,
S-50177,C-10127,DLR-05,PLN-SNR,04/17/2023,
S-50178,C-10127,DLR-06,PLN-B60,06/23/2022,
S-50179,C-10128,DLR-08 ,PLN-SNR,11/03/2023,
S-50180,C-10129,DLR-7,PLN-U69,03/06/2021,05/21/2021
S-50181,C-10130,DLR-04,PLN-S100,03/29/2024,10/26/2024
S-50182,C-10130,dlr-09,PLN-UMAX,10/24/2024,
S-50183,C-10131,DLR-09,PLN-S100,06/11/2021,04/02/2025
S-50184,C-10132,dlr-03,PLN-T04,04/04/2022,06/09/2022
S-50185,C-10133,DLR-06,PLN-S200,10/21/2022,
S-50186,C-10133,DLR-03,PLN-B40,03/17/2024,
S-50187,C-10133,DLR-01,PLN-S100,03/03/2023,04/11/2025
S-50188,C-10133,DLR-06,PLN-T02,10/11/2023,
S-50189,C-10134,DLR-07,PLN-T01,08/30/2022,01/02/2025
S-50190,C-10135,DLR-03,PLN-SNR,11/11/2023,10/22/2025
S-50191,C-10135,DLR-09 ,PLN-UMAX,09/12/2024,
S-50192,C-10136,DLR-09,PLN-UMAX,11/29/2023,
S-50193,C-10136,DLR-03,PLN-S200,05/16/2025,12/04/2025
S-50194,C-10136,DLR-09,PLN-UMAX,09/10/2024,
S-50195,C-10136,DLR-08,PLN-UMAX,08/10/2024,
S-50196,C-10137,DLR-04,PLN-S100,03/14/2025,
S-50197,C-10138,DLR-03,PLN-T12,04/26/2025,
S-50198,C-10139,DLR-02,PLN-T11,04/17/2022,03/07/2025
S-50199,C-10139,DLR-02,PLN-T17,10/31/2022,
S-50200,C-10140,DLR-01,PLN-U69,11/19/2024,
S-50201,C-10140,DLR-01,PLN-FAM,09/08/2025,
S-50202,C-10140,DLR-10,PLN-S200,06/14/2025,
S-50203,C-10140,DLR-01,PLN-T11,08/11/2025,
S-50204,C-10141,DLR-06,PLN-S200,09/18/2025,
S-50205,C-10142,DLR-03,PLN-YTH,10/07/2025,
S-50206,C-10142,DLR-06,PLN-S200,12/18/2025,
S-50207,C-10143,DLR-03,PLN-YTH,05/11/2025,
S-50208,C-10144,DLR-03,PLN-S200,05/21/2022,12/24/2022
S-50209,C-10144,DLR-09,PLN-T21,11/04/2022,02/16/2023
S-50210,C-10145,DLR-04,PLN-YTH,06/27/2025,
S-50211,C-10146,DLR-08,PLN-S200,06/02/2023,12/08/2024
S-50212,C-10146,DLR-06,PLN-T01,06/23/2024,
S-50213,C-10147,DLR-03,PLN-U69,12/30/2021,03/20/2025
S-50214,C-10148,DLR-03,PLN-FAM,10/20/2024,01/24/2025
S-50215,C-10148,DLR-03,PLN-FAM,05/25/2025,
S-50216,C-10148,DLR-01,PLN-B60,02/09/2025,
S-50217,C-10149,DLR-01,PLN-T06,11/01/2024,12/29/2024
S-50218,C-10150,DLR-01,PLN-U69,04/22/2023,12/17/2025
S-50219,C-10151,DLR-09,PLN-S200,04/02/2023,
S-50220,C-10152,DLR-01,PLN-YTH,11/09/2023,
S-50221,C-10153,DLR-07,PLN-T15,12/21/2025,
S-50222,C-10154,DLR-04,PLN-T22,08/27/2023,09/24/2023
S-50223,C-10155,DLR-09,PLN-SNR,11/25/2025,
S-50224,C-10156,DLR-01,PLN-UMAX,02/18/2023,10/16/2023
S-50225,C-10157,DLR-04,PLN-T17,06/16/2025,
S-50226,C-10157,DLR-10,PLN-SNR,08/20/2025,
S-50227,C-10158,DLR-04,PLN-T24,01/07/2025,
S-50228,C-10159,DLR-09,PLN-T03,03/31/2022,12/18/2022
S-50229,C-10160,DLR-09,PLN-S100,02/09/2021,
S-50230,C-10161,DLR-01,PLN-S200,05/19/2021,
S-50231,C-10161,DLR-10,PLN-UMAX,03/01/2022,
S-50232,C-10162,DLR-07 ,PLN-FAM,06/27/2025,
S-50233,C-10163,DLR-02,PLN-UMAX,05/24/2025,
S-50234,C-10163,DLR-01,PLN-S200,07/23/2025,
S-50235,C-10164,DLR-09,PLN-SNR,02/18/2025,
S-50236,C-10165,DLR-07 ,PLN-T21,05/13/2025,
S-50237,C-10166,DLR-05,PLN-YTH,05/26/2024,
S-50238,C-10167,DLR-04,PLN-T12,01/27/2021,01/25/2022
S-50239,C-10168,DLR-09,PLN-S300,01/27/2024,
S-50240,C-10169,DLR-02,PLN-S300,02/26/2023,07/08/2023
S-50241,C-10169,DLR-02,PLN-T20,07/14/2024,
S-50242,C-10170,DLR-01,PLN-B60,07/25/2022,06/01/2024
S-50243,C-10171,DLR-09,PLN-SNR,03/01/2025,04/20/2025
S-50244,C-10172,DLR-03,PLN-FAM,07/23/2023,10/13/2025
S-50245,C-10173,DLR-09,PLN-T08,09/09/2021,02/19/2023
S-50246,C-10174,DLR-01,PLN-S100,08/18/2025,
S-50247,C-10174,DLR-02,PLN-U69,12/04/2025,
S-50248,C-10175,DLR-03,PLN-S300,07/02/2024,
S-50249,C-10176,DLR-10,PLN-SNR,02/14/2025,
S-50250,C-10177,DLR-03,PLN-S100,01/01/2025,
S-50251,C-10178,DLR-06,PLN-YTH,08/06/2023,
S-50252,C-10178,DLR-03,PLN-S100,11/16/2023,01/02/2025
S-50253,C-10178,DLR-01 ,PLN-YTH,01/12/2024,
S-50254,C-10178,DLR-09,PLN-S100,05/18/2024,
S-50255,C-10179,DLR-04,PLN-S300,06/30/2023,
S-50256,C-10180,DLR-04,PLN-S100,10/09/2025,
S-50257,C-10181,DLR-03,PLN-UMAX,07/28/2025,09/10/2025
S-50258,C-10182,dlr-01,PLN-FAM,03/30/2023,
S-50259,C-10183,DLR-03,PLN-S300,07/24/2022,07/07/2025
S-50260,C-10184,DLR-10,PLN-UMAX,11/05/2025,
S-50261,C-10185,DLR-06,PLN-YTH,11/12/2025,
S-50262,C-10186,dlr-04,PLN-S100,09/27/2021,01/27/2025
S-50263,C-10186,DLR-05,PLN-B60,01/20/2023,
S-50264,C-10187,DLR-10,PLN-S300,03/21/2022,07/24/2022
S-50265,C-10188,DLR-05,PLN-UMAX,05/22/2023,
S-50266,C-10188,DLR-03,PLN-S300,12/20/2023,
S-50267,C-10188,DLR-07,PLN-T22,08/20/2023,
S-50268,C-10189,DLR-1,PLN-T15,08/15/2024,06/19/2025
S-50269,C-10190,DLR-07,PLN-S200,09/14/2024,
S-50270,C-10191,DLR-04,PLN-S100,02/22/2022,01/20/2024
S-50271,C-10192,DLR-09,PLN-B60,09/30/2025,12/22/2025
S-50272,C-10193,DLR-03,PLN-UMAX,11/19/2021,
S-50273,C-10194,DLR-08,PLN-SNR,10/25/2021,08/21/2023
S-50274,C-10195,dlr-09,PLN-T12,09/20/2025,
S-50275,C-10196,DLR-03,PLN-S200,03/30/2023,
S-50276,C-10196,DLR-08 ,PLN-S300,08/03/2024,
S-50277,C-10196,DLR-10,PLN-YTH,12/19/2023,
S-50278,C-10197,DLR-10,PLN-B60,11/25/2025,
S-50279,C-10197,DLR-10,PLN-T07,12/21/2025,
S-50280,C-10198,DLR-01,PLN-YTH,04/24/2023,02/18/2025
S-50281,C-10199,DLR-02,PLN-SNR,10/29/2023,
S-50282,C-10199,DLR-03,PLN-B40,07/07/2024,
S-50283,C-10199,dlr-09,PLN-U69,04/15/2024,
S-50284,C-10200,DLR-01,PLN-S300,10/11/2022,02/03/2023
S-50285,C-10200,DLR-03,PLN-T07,03/25/2023,
S-50286,C-10201,DLR-01,PLN-S100,09/01/2024,01/01/2025
S-50287,C-10201,DLR-03,PLN-S100,02/21/2025,08/09/2025
S-50288,C-10202,DLR-03,PLN-S100,03/18/2024,
S-50289,C-10203,DLR-10,PLN-S100,02/06/2025,
S-50290,C-10204,DLR-10,PLN-T25,01/07/2021,02/25/2023
S-50291,C-10205,DLR-02,PLN-YTH,08/24/2023,10/27/2025
S-50292,C-10206,DLR-03,PLN-B60,06/27/2021,11/07/2024
S-50293,C-10206,DLR-06,PLN-T20,07/28/2022,03/26/2024
S-50294,C-10207,DLR-1,PLN-S100,06/20/2022,12/10/2023
S-50295,C-10207,DLR-09,PLN-T19,04/11/2023,12/06/2023
S-50296,C-10208,DLR-08,PLN-T16,12/04/2025,
S-50297,C-10209,DLR-08,PLN-S300,02/26/2025,
S-50298,C-10210,DLR-01,PLN-S200,01/01/2021,07/30/2022
S-50299,C-10210,DLR-07,PLN-S300,04/20/2022,12/20/2022
S-50300,C-10211,DLR-02,PLN-UMAX,01/11/2025,
S-50301,C-10212,DLR-09,PLN-YTH,09/23/2021,
S-50302,C-10213,DLR-03,PLN-SNR,05/02/2025,07/12/2025
S-50303,C-10214,DLR-07,PLN-S100,01/31/2023,
S-50304,C-10214,DLR-04,PLN-S300,10/01/2023,12/03/2024
S-50305,C-10215,DLR-01,PLN-S100,07/26/2024,
S-50306,C-10216,DLR-02,PLN-S100,06/13/2022,12/24/2024
S-50307,C-10217,DLR-09,PLN-T08,01/25/2024,12/14/2024
S-50308,C-10218,DLR-07,PLN-SNR,04/17/2022,12/09/2022
S-50309,C-10219,DLR-03,PLN-S200,01/17/2021,
S-50310,C-10219,DLR-03 ,PLN-B60,09/23/2021,
S-50311,C-10219,DLR-10,PLN-U69,02/02/2022,11/28/2022
S-50312,C-10219,DLR-09,PLN-S100,06/24/2022,
S-50313,C-10220,DLR-03,PLN-T17,02/02/2025,
S-50314,C-10220,DLR-01,PLN-S200,05/28/2025,
S-50315,C-10221,DLR-01,PLN-SNR,07/18/2024,10/11/2024
S-50316,C-10222,DLR-03,PLN-T06,09/28/2024,
S-50317,C-10223,DLR-03,PLN-T17,02/05/2025,
S-50318,C-10223,DLR-04,PLN-T19,08/27/2025,
S-50319,C-10223,DLR-04,PLN-UMAX,12/09/2025,
S-50320,C-10224,DLR-08,PLN-S200,04/20/2021,11/14/2022
S-50321,C-10225,DLR-01,PLN-YTH,01/15/2023,03/26/2024
S-50322,C-10226,DLR-09,PLN-T24,03/18/2023,05/30/2024
S-50323,C-10227,DLR-06,PLN-T01,02/28/2023,03/13/2024
S-50324,C-10228,DLR-03,PLN-S100,06/07/2023,
S-50325,C-10229,DLR-01,PLN-UMAX,07/26/2023,10/19/2023
S-50326,C-10230,DLR-03,PLN-S200,04/14/2024,08/03/2024
S-50327,C-10230,DLR-01,PLN-UMAX,06/23/2024,
S-50328,C-10230,DLR-03 ,PLN-B60,08/21/2024,
S-50329,C-10230,DLR-09,PLN-S300,05/21/2025,08/06/2025
S-50330,C-10231,DLR-09,PLN-UMAX,12/17/2021,
S-50331,C-10232,DLR-03,PLN-UMAX,02/05/2025,
S-50332,C-10233,DLR-09,PLN-S100,10/07/2023,
S-50333,C-10233,dlr-09,PLN-T21,02/01/2024,08/29/2024
S-50334,C-10233,DLR-01,PLN-B60,03/27/2025,
S-50335,C-10234,DLR-09,PLN-YTH,01/08/2022,
S-50336,C-10234,DLR-08,PLN-S100,09/24/2022,
S-50337,C-10235,DLR-01,PLN-FAM,04/04/2022,02/22/2025
S-50338,C-10235,DLR-10,PLN-SNR,08/09/2022,
S-50339,C-10235,DLR-09,PLN-U69,07/26/2022,
S-50340,C-10235,DLR-02,PLN-YTH,08/24/2023,07/23/2025
S-50341,C-10235,DLR-01,PLN-FAM,04/08/2023,
S-50342,C-10236,DLR-03,PLN-S100,10/18/2023,11/09/2024
S-50343,C-10237,DLR-3,PLN-B40,01/07/2024,01/21/2025
S-50344,C-10238,DLR-09,PLN-FAM,06/29/2025,
S-50345,C-10239,DLR-03,PLN-FAM,10/17/2024,04/23/2025
S-50346,C-10239,DLR-03,PLN-T25,08/02/2025,
S-50347,C-10240,DLR-07 ,PLN-S100,09/06/2024,
S-50348,C-10241,DLR-01,PLN-S100,07/09/2024,
S-50349,C-10241,DLR-02,PLN-SNR,09/09/2025,
S-50350,C-10241,DLR-01,PLN-T25,07/17/2025,
S-50351,C-10241,DLR-07,PLN-S300,12/07/2025,
S-50352,C-10241,dlr-07,PLN-YTH,09/25/2024,
S-50353,C-10242,DLR-09,PLN-T02,11/03/2023,
S-50354,C-10242,DLR-01,PLN-S300,08/19/2024,
S-50355,C-10243,DLR-03,PLN-FAM,07/16/2025,
S-50356,C-10244,DLR-02,PLN-SNR,07/11/2021,09/06/2021
S-50357,C-10245,DLR-10,PLN-UMAX,05/22/2022,01/29/2023
S-50358,C-10245,DLR-03,PLN-U69,03/30/2023,
S-50359,C-10246,DLR-10,PLN-S100,11/13/2022,
S-50360,C-10246,DLR-03,PLN-T19,01/29/2023,10/01/2025
S-50361,C-10246,DLR-08,PLN-T15,04/04/2023,
S-50362,C-10247,DLR-05 ,PLN-B60,02/18/2025,
S-50363,C-10248,DLR-03,PLN-B60,09/27/2025,
S-50364,C-10249,DLR-10,PLN-B40,02/24/2024,10/17/2024
S-50365,C-10249,dlr-02,PLN-FAM,06/25/2025,
S-50366,C-10249,DLR-03,PLN-FAM,03/26/2025,
S-50367,C-10250,DLR-01,PLN-SNR,07/13/2022,12/19/2024
S-50368,C-10250,DLR-04,PLN-FAM,07/07/2023,10/13/2023
S-50369,C-10250,DLR-06,PLN-SNR,08/13/2022,
S-50370,C-10251,DLR-10,PLN-S300,07/02/2023,
S-50371,C-10251,DLR-9,PLN-S200,01/10/2024,11/30/2024
S-50372,C-10252,DLR-03,PLN-S100,03/09/2023,
S-50373,C-10252,DLR-08,PLN-U69,06/16/2024,09/28/2024
S-50374,C-10253,DLR-03,PLN-UMAX,05/05/2022,
S-50375,C-10253,DLR-05,PLN-S100,06/29/2022,01/21/2023
S-50376,C-10254,DLR-05 ,PLN-FAM,04/30/2024,10/26/2025
S-50377,C-10254,dlr-03,PLN-T14,06/12/2025,
S-50378,C-10255,dlr-09,PLN-FAM,09/17/2023,11/10/2024
S-50379,C-10255,DLR-04 ,PLN-SNR,09/22/2024,
S-50380,C-10256,DLR-01,PLN-U69,07/14/2023,01/21/2024
S-50381,C-10257,DLR-01,PLN-S200,05/25/2023,
S-50382,C-10257,DLR-02,PLN-T22,06/08/2024,05/10/2025
S-50383,C-10258,DLR-06,PLN-S200,04/23/2025,
S-50384,C-10259,DLR-06,PLN-T14,03/07/2024,
S-50385,C-10260,DLR-09,PLN-UMAX,01/19/2025,08/12/2025
S-50386,C-10261,DLR-04,PLN-S200,06/15/2024,
S-50387,C-10261,DLR-09,PLN-YTH,08/30/2024,
S-50388,C-10261,DLR-09,PLN-B60,08/18/2025,
S-50389,C-10262,DLR-10,PLN-S200,09/18/2024,
S-50390,C-10263,DLR-03,PLN-YTH,06/19/2025,
S-50391,C-10264,DLR-04,PLN-T21,06/02/2022,
S-50392,C-10264,DLR-5,PLN-T23,04/30/2023,
S-50393,C-10265,DLR-01,PLN-B40,10/16/2025,
S-50394,C-10266,DLR-03,PLN-B40,10/31/2023,
S-50395,C-10266,DLR-07,PLN-S200,07/03/2024,12/15/2024
S-50396,C-10267,DLR-07,PLN-UMAX,01/05/2025,03/07/2025
S-50397,C-10268,DLR-01,PLN-U69,06/01/2022,
S-50398,C-10268,DLR-06,PLN-B40,06/17/2023,
S-50399,C-10268,DLR-03,PLN-T07,10/20/2022,10/27/2023
S-50400,C-10268,DLR-06,PLN-S100,08/04/2023,
S-50401,C-10269,DLR-10,PLN-S200,02/26/2022,09/22/2022
S-50402,C-10269,DLR-03,PLN-B60,04/14/2023,
S-50403,C-10270,DLR-10,PLN-S200,03/17/2022,
S-50404,C-10270,DLR-10,PLN-YTH,06/09/2023,
S-50405,C-10270,DLR-01 ,PLN-U69,10/25/2022,
S-50406,C-10270,DLR-08,PLN-T24,09/07/2022,
S-50407,C-10271,dlr-05,PLN-T02,12/08/2025,
S-50408,C-10272,DLR-01,PLN-SNR,05/24/2021,08/09/2021
S-50409,C-10273,DLR-08,PLN-B40,11/17/2025,
S-50410,C-10274,DLR-06,PLN-SNR,05/11/2024,
S-50411,C-10274,DLR-09,PLN-U69,06/18/2025,
